Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
رهب,11, الرَّهْبِ تُرْهِبُونَ رَهْبَةً فَارْهَبُونِ وَاسْتَرْهَبُوهُم وَالرُّهْبَانِ وَرَهَبًا وَرَهْبَانِيَّةً وَرُهْبَانًا وَرُهْبَانَهُم يَرْهَبُونَ,3,no vowel,(12/13) الرَّهْبِ (1) تُرْهِبُونَ (1) رَهْبَةً (1) فَارْهَبُونِ (2) [وَاسْتَرْهَبُوهُم] (1) وَالرُّهْبَانِ (1) [وَرَهَبًا] (1) وَرَهْبَانِيَّةً (1) [وَرُهْبَانًا] (1) [وَرُهْبَانَهُم] (1) يَرْهَبُونَ (1)
رهط,2, رَهْطٍ رَهْطُكَ,3,no vowel,أَرَهْطِي (1) رَهْطٍ (1) رَهْطُكَ (1)
رهق,7, تَرْهَقُهَا تَرْهَقُهُم تُرْهِقْنِي رَهَقًا وَتَرْهَقُهُم يَرْهَقُ يُرْهِقَهُمَا,3,no vowel,[تَرْهَقُهَا] (1) [تَرْهَقُهُم] (2) [تُرْهِقْنِي] (1) [رَهَقًا] (2) سَأُرْهِقُهُ (1) وَ[تَرْهَقُهُم] (1) يَرْهَقُ (1) [يُرْهِقَهُمَا] (1)
رهن,3, رَهِينٌ رَهِينَةٌ فَرِهَانٌ,3,no vowel,رَهِينٌ (1) رَهِينَةٌ (1) فَرِهَانٌ (1)
رهو,1, رَهْوًا,3,vowel,[رَهْوًا] (1)
روح,32, الرُّوحَ الرُّوحُ الرُّوحِ الرِّيحَ الرِّيحُ الرِّيحِ الرِّيَاحَ الرِّيَاحُ الرِّيَاحِ بِالرُّوحِ بِرُوحٍ بِرُوحِ بِرِيحٍ تُرِيحُونَ رَوْحِ رُوحًا رُوحَنَا رُوحُ رُوحِنَا رُوحِهِ رُوحِي رِيحًا رِيحٌ رِيحٍ رِيحَ رِيحُكُم فَرَوْحٌ وَالرَّيْحَانُ وَالرُّوحُ وَرَوَاحُهَا وَرَيْحَانٌ وَرُوحٌ,3,vowel,الرُّوحَ (1) الرُّوحُ (3) الرُّوحِ (1) الرِّيحَ (5) الرِّيحُ (2) الرِّيحِ (1) الرِّيَاحَ (7) الرِّيَاحُ (1) الرِّيَاحِ (2) بِالرُّوحِ (1) بِرُوحٍ (1) بِرُوحِ (3) بِرِيحٍ (2) تُرِيحُونَ (1) رَوْحِ (2) [رُوحًا] (1) [رُوحَنَا] (1) رُوحُ (1) [رُوحِنَا] (2) رُوحِهِ (1) [رُوحِي] (2) [رِيحًا] (4) رِيحٌ (2) رِيحٍ (1) رِيحَ (1) [رِيحُكُم] (1) فَرَوْحٌ (1) وَالرَّيْحَانُ (1) وَالرُّوحُ (2) [وَرَوَاحُهَا] (1) وَرَيْحَانٌ (1) وَرُوحٌ (1)
رود,25, تُرَاوِدُ تُرِدْنَ تُرِيدُ تُرِيدُونَ رَاوَدتُّنَّ رَاوَدتُّهُ رَاوَدَتْنِي رَاوَدُوهُ رُوَيْدًا سَنُرَاوِدُ نُرِيدُ وَرَاوَدَتْهُ وَنُرِيدُ وَيُرِيدُ وَيُرِيدُونَ يُرَادُ يُرِد يُرِدِ يُرِدْكَ يُرِدْنِ يُرِيدَا يُرِيدَانِ يُرِيدُ يُرِيدُوا يُرِيدُونَ,3,vowel,(12/14) أَتُرِيدُ (1) أَ[تُرِيدُ]ونَ (2) أَرَادَ (18) أَرَادَا (1) أَرَادَنِي (1) أَرَادَنِيَ (1) أَرَادُوا (4) أَرَدتُّ (1) أَرَدتُّم (2) أَرَدتُّمُ (1) أَرَدْنَ (1) أَرَدْنَا (4) أَرَدْنَاهُ (1) أُرِيدُ (8) تُرَاوِدُ (1) تُرِدْنَ (2) تُرِيدُ (3) [تُرِيدُ]ونَ (5) رَاوَدتُّنَّ (1) رَاوَدتُّهُ (2) [رَاوَدَتْنِي] (1) رَاوَدُوهُ (1) [رُوَيْدًا] (1) سَنُرَاوِدُ (1) فَأَرَادَ (2) فَأَرَادُوا (1) فَأَرَدتُّ (1) فَأَرَدْنَا (1) نُرِيدُ (4) وَأَرَادُوا (1) وَرَاوَدَتْهُ (1) وَنُرِيدُ (1) وَيُرِيدُ (3) [وَيُرِيدُ]ونَ (3) يُرَادُ (1) [يُرِد] (5) [يُرِد]ِ (3) [يُرِد]ْكَ (1) [يُرِد]ْنِ (1) [يُرِيدَا] (1) يُرِيدَانِ (1) يُرِيدُ (38) [يُرِيدُ]وا (2) [يُرِيدُ]ونَ (13)
روض,2, رَوْضَاتِ رَوْضَةٍ,3,vowel,رَوْضَاتِ (1) رَوْضَةٍ (1)
روع,1, الرَّوْعُ,3,vowel,الرَّوْعُ (1)
روغ,1, فَرَاغَ,3,vowel,فَرَاغَ (3)
روم,1, الرُّومُ,3,vowel,الرُّومُ (1)
ريب,14, ارْتَابُوا ارْتَبْتُم تَرْتَابُوا رَيْبٍ رَيْبَ رَيْبِهِم رِيبَةً لاَّرْتَابَ مُرِيبٍ مُرْتَابٌ وَارْتَابَت وَارْتَبْتُم يَرْتَابَ يَرْتَابُوا,3,vowel,[ارْتَابُوا] (1) [ارْتَبْتُم] (2) [تَرْتَابُوا] (1) رَيْبٍ (2) رَيْبَ (15) [رَيْبِهِم] (1) رِيبَةً (1) لاَّرْتَابَ (1) مُرِيبٍ (7) مُرْتَابٌ (1) [وَارْتَابَت] (1) وَ[ارْتَبْتُم] (1) يَرْتَابَ (1) [يَرْتَابُوا] (1)
ريش,1, وَرِيشًا,3,vowel,[وَرِيشًا] (1)
ريع,1, رِيعٍ,3,vowel,رِيعٍ (1)
رين,1, رَانَ,3,vowel,رَانَ (1) (12/15) معجم كلمات القرآن الكريم حسب الجذور ز ---
زبد,3, الزَّبَدُ زَبَدًا زَبَدٌ,3,no vowel,الزَّبَدُ (1) [زَبَدًا] (1) زَبَدٌ (1)
زبر,8, الزَّبُورِ الزُّبُرِ زَبُورًا زُبَرَ زُبُرًا زُبُرِ وَالزُّبُرِ وَبِالزُّبُرِ,3,no vowel,الزَّبُورِ (1) الزُّبُرِ (2) [زَبُورًا] (2) زُبَرَ (1) [زُبُرًا] (1) زُبُرِ (1) وَالزُّبُرِ (2) وَبِالزُّبُرِ (1)
زبن,1, الزَّبَانِيَةَ,3,no vowel,الزَّبَانِيَةَ (1)
زجج,2, الزُّجَاجَةُ زُجَاجَةٍ,3,no vowel,الزُّجَاجَةُ (1) زُجَاجَةٍ (1)
زجر,5, زَجْرًا زَجْرَةٌ فَالزَّاجِرَاتِ مُزْدَجَرٌ وَازْدُجِرَ,3,no vowel,[زَجْرًا] (1) زَجْرَةٌ (2) فَالزَّاجِرَاتِ (1) مُزْدَجَرٌ (1) وَازْدُجِرَ (1)
زجو,2, مُزْجَاةٍ يُزْجِي,3,vowel,مُزْجَاةٍ (1) [يُزْجِي] (2)
زحزح,2, بِمُزَحْزِحِهِ زُحْزِحَ,4,no vowel,بِمُزَحْزِحِهِ (1) زُحْزِحَ (1)
زحف,1, زَحْفًا,3,no vowel,[زَحْفًا] (1)
زخرف,4, زُخْرُفٍ زُخْرُفَ زُخْرُفَهَا وَزُخْرُفًا,4,no vowel,زُخْرُفٍ (1) زُخْرُفَ (1) [زُخْرُفَ]هَا (1) [وَزُخْرُفًا] (1)
زرب,1, وَزَرَابِيُّ,3,no vowel,وَزَرَابِيُّ (1)
زرع,11, الزَّارِعُونَ الزَّرْعَ الزُّرَّاعَ تَزْرَعُونَ تَزْرَعُونَهُ زَرْعًا زَرْعٍ كَزَرْعٍ وَالزَّرْعَ وَزَرْعٌ وَزُرُوعٍ,3,no vowel,الزَّارِعُونَ (1) الزَّرْعَ (1) الزُّرَّاعَ (1) تَزْرَعُونَ (1) [تَزْرَعُونَ]هُ (1) [زَرْعًا] (3) زَرْعٍ (1) كَزَرْعٍ (1) وَالزَّرْعَ (1) وَزَرْعٌ (1) وَزُرُوعٍ (2)
زرق,1, زُرْقًا,3,no vowel,[زُرْقًا] (1)
زري,1, تَزْدَرِي,3,vowel,[تَزْدَرِي] (1)
زعم,7, بِزَعْمِهِم تَزْعُمُونَ زَعَمَ زَعَمْتَ زَعَمْتُم زَعِيمٌ يَزْعُمُونَ,3,no vowel,(13/1) [بِزَعْمِهِم] (2) تَزْعُمُونَ (4) زَعَمَ (1) زَعَمْتَ (1) [زَعَمْتُم] (6) زَعِيمٌ (2) يَزْعُمُونَ (1)
زفر,2, زَفِيرٌ وَزَفِيرًا,3,no vowel,زَفِيرٌ (2) [وَزَفِيرًا] (1)
زفف,1, يَزِفُّونَ,3,no vowel,يَزِفُّونَ (1)
زقم,2, الزَّقُّومِ زَقُّومٍ,3,no vowel,الزَّقُّومِ (2) زَقُّومٍ (1)
زكريا,3, زَكَرِيَّا وَزَكَرِيَّا يَازَكَرِيَّا,5,vowel,[زَكَرِيَّا] (4) وَ[زَكَرِيَّا] (2) [يَازَكَرِيَّا] (1)
زكو,21, الزَّكَاةَ الزَّكَاةِ تَزَكَّى تُزَكُّوا زَكَاةً زَكَاةٍ زَكَى زَكِيًّا زَكِيَّةً زَكَّاهَا لِلزَّكَاةِ وَالزَّكَاةِ وَتُزَكِّيهِم وَزَكَاةً وَيُزَكِّيكُم وَيُزَكِّيهِم يَتَزَكَّى يَزَّكَّى يُزَكُّونَ يُزَكِّي يُزَكِّيهِم,3,vowel,أَزْكَى (4) الزَّكَاةَ (24) الزَّكَاةِ (2) [تَزَكَّى] (4) [تُزَكُّوا] (1) زَكَاةً (1) زَكَاةٍ (1) [زَكَى] (1) [زَكِيًّا] (1) زَكِيَّةً (1) [زَكَّاهَا] (1) لِلزَّكَاةِ (1) وَالزَّكَاةِ (2) [وَتُزَكِّيهِم] (1) وَزَكَاةً (1) [وَيُزَكِّيكُم] (1) [وَ[يُزَكِّيهِم]] (3) يَ[تَزَكَّى] (2) [يَزَّكَّى] (2) يُزَكُّونَ (1) [يُزَكِّي] (2) [يُزَكِّيهِم] (2)
زلزل,5, زَلْزَلَةَ زُلْزِلَتِ زِلْزَالاً زِلْزَالَهَا وَزُلْزِلُوا,4,no vowel,زَلْزَلَةَ (1) زُلْزِلَتِ (1) زِلْزَالاً (1) [زِلْزَالَهَا] (1) [وَزُلْزِلُوا] (2)
زلف,4, زُلْفَةً زُلْفَى لَزُلْفَى وَزُلَفًا,3,no vowel,أُزْلِفَت (1) زُلْفَةً (1) [زُلْفَى] (2) لَ[زُلْفَى] (2) وَأَزْلَفْنَا (1) وَأُزْلِفَتِ (2) [وَزُلَفًا] (1) زلق* زَلَقًا (1) لَيُزْلِقُونَكَ (1)
زلل,3, اسْتَزَلَّهُمُ زَلَلْتُم فَتَزِلَّ,3,no vowel,اسْتَزَلَّهُمُ (1) [زَلَلْتُم] (1) فَأَزَلَّهُمَا (1) فَتَزِلَّ (1)
زلم,0,,3,no vowel,بِالأَزْلاَمِ (1) وَالأَزْلاَمُ (1)
زمر,1, زُمَرًا,3,no vowel,[زُمَرًا] (2) (13/2)
زمل,1, الْمُزَّمِّلُ,3,no vowel,الْمُزَّمِّلُ (1)
زمهر,1, زَمْهَرِيرًا,4,no vowel,[زَمْهَرِيرًا] (1)
زنجبيل,1, زَنجَبِيلاً,6,vowel,زَنجَبِيلاً (1)
زنم,1, زَنِيمٍ,3,no vowel,زَنِيمٍ (1)
زني,9, الزَّانِي الزَّانِيَةُ الزِّنَى زَانٍ زَانِيَةً وَالزَّانِي وَالزَّانِيَةُ يَزْنُونَ يَزْنِينَ,3,vowel,[الزَّانِي] (1) [الزَّانِي]َةُ (1) [الزِّنَى] (1) زَانٍ (1) زَانِيَةً (1) وَ[الزَّانِي] (1) وَ[الزَّانِي]َةُ (1) يَزْنُونَ (1) يَزْنِينَ (1)
زهد,1, الزَّاهِدِينَ,3,no vowel,الزَّاهِدِينَ (1)
زهر,1, *زَهْرَةَ,3,no vowel,*زَهْرَةَ (1)
زهق,4, زَاهِقٌ زَهُوقًا وَتَزْهَقَ وَزَهَقَ,3,no vowel,زَاهِقٌ (1) [زَهُوقًا] (1) وَتَزْهَقَ (2) وَزَهَقَ (1)
زوج,16, الزَّوْجَيْنِ زَوَّجْنَاكَهَا زَوْجًا زَوْجٍ زَوْجَانِ زَوْجَكَ زَوْجَهَا زَوْجَهُ زَوْجَيْنِ زَوْجِهَا زُوِّجَت وَزَوَّجْنَاهُم وَزَوْجُكَ وَزَوْجِهِ وَلِزَوْجِكَ يُزَوِّجُهُم,3,vowel,أَزْوَاجًا (14) أَزْوَاجٌ (3) أَزْوَاجٍ (3) أَزْوَاجَكَ (1) أَزْوَاجَكُمُ (1) أَزْوَاجَهُ (1) أَزْوَاجَهُم (1) أَزْوَاجَهُنَّ (1) أَزْوَاجُكُم (1) أَزْوَاجُهُم (1) أَزْوَاجِ (1) أَزْوَاجِكَ (1) أَزْوَاجِكُم (4) أَزْوَاجِنَا (2) أَزْوَاجِهِ (1) أَزْوَاجِهِم (3) الأَزْوَاجَ (2) الزَّوْجَيْنِ (2) [زَوَّجْنَاكَهَا] (1) [زَوْجًا] (1) زَوْجٍ (6) زَوْجَانِ (1) زَوْجَكَ (1) [زَوْجَهَا] (3) زَوْجَهُ (1) زَوْجَيْنِ (4) [زَوْجِهَا] (1) [زُوِّجَت] (1) لأَزْوَاجِكَ (2) لأَزْوَاجِهِم (1) وَأَزْوَاجٌ (1) وَأَزْوَاجَهُم (1) وَأَزْوَاجُكُم (2) وَأَزْوَاجُهُ (1) وَأَزْوَاجُهُم (1) وَأَزْوَاجِهِم (2) [وَزَوَّجْنَاهُم] (2) وَزَوْجُكَ (2) وَزَوْجِهِ (1) وَلِزَوْجِكَ (1) [يُزَوِّجُهُم] (1)
زور,5, الزُّورَ الزُّورِ تَزَاوَرُ زُرْتُمُ وَزُورًا,3,vowel,(13/3) الزُّورَ (1) الزُّورِ (1) تَزَاوَرُ (1) زُرْتُمُ (1) [وَزُورًا] (2)
زوغ,1, يَزِغ,3,vowel,[يَزِغ] (1)
زول,11, تَزَالُ تَزَيَّلُوا تَزُولاَ زَالَت زَالَتَا زَوَالٍ زِلْتُم فَزَيَّلْنَا لِتَزُولَ يَزَالُ يَزَالُونَ,3,vowel,تَزَالُ (1) [تَزَيَّلُوا] (1) تَزُولاَ (1) [زَالَت] (1) [زَالَت]َا (1) زَوَالٍ (1) [زِلْتُم] (1) [فَزَيَّلْنَا] (1) لِتَزُولَ (1) يَزَالُ (3) [يَزَالُ]ونَ (2)
زيت,5, زَيْتُهَا زَيْتُونَةٍ وَالزَّيْتُونَ وَالزَّيْتُونِ وَزَيْتُونًا,3,vowel,[زَيْتُهَا] (1) زَيْتُونَةٍ (1) وَالزَّيْتُونَ (3) وَالزَّيْتُونِ (1) [وَزَيْتُونًا] (1)
زيد,46, ازْدَادُوا الزَّادِ تَزِدِ تَزِيدُونَنِي تَزْدَادُ زَادَتْهُ زَادَتْهُم زَادَهُم زَادُوكُم زَادُوهُم زَيْدٌ زِد زِدْنَاهُم زِدْنِي زِيَادَةٌ سَنَزِيدُ فَزَادَتْهُم فَزَادَهُم فَزَادَهُمُ فَزَادُوهُم فَزِدْهُ لِيَزْدَادُوا مَزِيدٌ مَزِيدٍ نَزِد نَزِيدَكُم وَازْدَادُوا وَتَزَوَّدُوا وَزَادَكُم وَزَادَهُ وَزَادَهُم وَزِدْنَاهُم وَزِيَادَةٌ وَسَنَزِيدُ وَلَيَزِيدَنَّ وَنَزْدَادُ وَيَزِدْكُم وَيَزِيدَهُم وَيَزِيدُ وَيَزِيدُهُم وَيَزْدَادَ يَزِدْهُ يَزِدْهُم يَزِيدُ يَزِيدُهُم يَزِيدُونَ,3,vowel,أَزِيدَ (1) [ازْدَادُوا] (2) الزَّادِ (1) تَ[زِد]ِ (2) [تَزِيدُونَنِي] (1) تَزْدَادُ (1) زَادَتْهُ (1) [زَادَتْهُ]م (1) [زَادَهُم] (3) [زَادُوكُم] (1) [زَادُوهُم] (1) زَيْدٌ (1) [زِد] (1) [زِد]ْنَاهُم (2) [زِد]ْنِي (1) زِيَادَةٌ (1) سَنَزِيدُ (1) فَ[زَادَتْهُ]م (2) فَ[زَادَهُم] (1) فَ[زَادَهُم]ُ (1) فَ[زَادُوهُم] (1) فَ[زِد]ْهُ (1) لأَزِيدَنَّكُم (1) [لِيَزْدَادُوا] (2) مَزِيدٌ (1) مَزِيدٍ (1) نَ[زِد] (2) [نَزِيدَكُم] (1) وَ[ازْدَادُوا] (1) [وَتَزَوَّدُوا] (1) [وَزَادَكُم] (1) وَزَادَهُ (1) وَ[زَادَهُم] (1) وَ[زِد]ْنَاهُم (1) وَزِيَادَةٌ (1) وَسَنَزِيدُ (1) وَلَيَزِيدَنَّ (2) وَنَزْدَادُ (1) وَيَ[زِد]ْكُم (1) [وَيَزِيدَهُم] (2) وَيَزِيدُ (1) [وَيَزِيدُ]هُم (3) وَيَزْدَادَ (1) يَ[زِد]ْهُ (1) يَ[زِد]ْهُم (1) يَزِيدُ (4) [يَزِيدُ]هُم (2) [يَزِيدُ]ونَ (1)
زيغ,7, تُزِغ زَاغَ زَاغَت زَاغَتِ زَاغُوا زَيْغٌ يَزِيغُ,3,vowel,أَزَاغَ (1) [تُزِغ] (1) زَاغَ (1) [زَاغَ]ت (1) [زَاغَ]تِ (1) [زَاغُوا] (1) زَيْغٌ (1) يَزِيغُ (1)
زين,25, الزِّينَةِ بِزِينَةٍ زَيَّنَ زَيَّنَّا زُيِّنَ زِينَةً زِينَةَ زِينَةُ زِينَةِ زِينَتَكُم زِينَتَهُنَّ زِينَتِهِ زِينَتِهِنَّ فَزَيَّنَ فَزَيَّنُوا وَازَّيَّنَت وَزَيَّنَ وَزَيَّنَهُ وَزَيَّنَّا وَزَيَّنَّاهَا وَزُيِّنَ وَزِينَةً وَزِينَةٌ وَزِينَتَهَا وَزِينَتُهَا,3,vowel,(13/4) الزِّينَةِ (1) بِزِينَةٍ (2) زَيَّنَ (2) [زَيَّنَّا] (4) زُيِّنَ (9) زِينَةً (2) زِينَةَ (2) زِينَةُ (1) زِينَةِ (1) [زِينَتَكُم] (1) زِينَتَهُنَّ (2) زِينَتِهِ (1) [زِينَتِهِ]نَّ (1) فَزَيَّنَ (1) [فَزَيَّنُوا] (1) لأُزَيِّنَنَّ (1) [وَازَّيَّنَت] (1) وَزَيَّنَ (3) وَ[زَيَّنَ]هُ (1) وَ[زَيَّنَّا] (1) [وَزَيَّنَّاهَا] (2) وَزُيِّنَ (1) وَزِينَةً (1) وَزِينَةٌ (1) [وَزِينَتَهَا] (2) [وَزِينَتُهَا] (1) (13/5) معجم كلمات القرآن الكريم حسب الجذور س ---
سءل,64, أَسْئَلَكَ أَسْئَلُكُم السَّائِلَ بِسُؤَالِ تَسَاءَلُونَ تَسْئَلُهُم تَسْئَلُوا تَسْئَلْنِ تَسْئَلْنِي تُسْئَلُ تُسْئَلُونَ سَأَلَ سَأَلَكَ سَأَلَهَا سَأَلَهُم سَأَلُوا سَأَلْتَهُم سَأَلْتُكَ سَأَلْتُكُم سَأَلْتُم سَأَلْتُمُوهُ سَأَلْتُمُوهُنَّ سَائِلٌ سُؤْلَكَ سُئِلَ سُئِلَت سُئِلُوا فَسْئَل فَسْئَلُوا فَسْئَلُوهُم فَسْئَلُوهُنَّ فَسْئَلِ فَسْئَلْهُ فَلَنَسْئَلَنَّ لَتُسْئَلُنَّ لَنَسْئَلَنَّهُم لِيَتَسَاءَلُوا لِيَسْئَلَ مَسْئُولاً مَسْئُولُونَ نَسْئَلُكَ نُسْئَلُ وَالسَّائِلِينَ وَسْئَل وَسْئَلُوا وَسْئَلِ وَسْئَلْهُم وَلَتُسْئَلُنَّ وَلَنَسْئَلَنَّ وَلَيُسْئَلُنَّ وَلْيَسْئَلُوا وَيَسْئَلُونَكَ وَيُسْئَلُونَ يَتَسَاءَلُونَ يَسْئَلُ يَسْئَلُكَ يَسْئَلُكُم يَسْئَلُهُ يَسْئَلُونَ يَسْئَلُونَكَ يَسْئَلْكُم يَسْئَلْكُمُوهَا يُسْئَلُ يُسْئَلُونَ,3,vowel,أَسْئَلَكَ (1) [أَسْئَلُكُم] (11) السَّائِلَ (1) بِسُؤَالِ (1) تَسَاءَلُونَ (1) [تَسْئَلُهُم] (4) [تَسْئَلُوا] (3) تَسْئَلْنِ (1) [تَسْئَلْنِ]ي (1) تُسْئَلُ (1) [تُسْئَلُ]ونَ (5) سَأَلَ (1) [سَأَلَ]كَ (1) [سَأَلَ]هَا (1) [سَأَلَ]هُم (1) [سَأَلُوا] (1) [سَأَلْتَهُم] (7) سَأَلْتُكَ (1) [سَأَلْتُكُم] (2) [سَأَلْتُم] (1) [سَأَلْتُم]ُوهُ (1) [سَأَلْتُم]ُوهُنَّ (1) سَائِلٌ (1) سَل (1) سَلْهُم (1) سُؤْلَكَ (1) سُئِلَ (1) [سُئِلَ]ت (1) [سُئِلُوا] (1) [فَسْئَل] (2) [فَسْئَل]ُوا (2) [فَسْئَل]ُوهُم (1) [فَسْئَل]ُوهُنَّ (1) [فَسْئَل]ِ (2) [فَسْئَل]ْهُ (1) فَلَنَسْئَلَنَّ (1) لَ[تُسْئَلُ]نَّ (2) [لَنَسْئَلَنَّهُم] (1) لِلسَّائِلِ (2) لِلسَّائِلِينَ (2) [لِيَتَسَاءَلُوا] (1) لِيَسْئَلَ (1) مَسْئُولاً (4) مَسْئُولُونَ (1) نَسْئَلُكَ (1) نُسْئَلُ (1) وَالسَّائِلِينَ (1) [وَسْئَل] (1) [وَسْئَل]ُوا (2) [وَسْئَل]ِ (1) [وَسْئَل]ْهُم (1) وَلَ[تُسْئَلُ]نَّ (1) وَلَنَسْئَلَنَّ (1) وَلَ[يُسْئَلُ]نَّ (1) [وَلْ[يَسْئَلُ]وا] (1) وَ[يَسْئَلُ]ونَكَ (6) وَ[يُسْئَلُ]ونَ (1) يَتَسَاءَلُونَ (7) يَسْئَلُ (2) [يَسْئَلُ]كَ (2) [يَسْئَلُ]كُم (1) [يَسْئَلُ]هُ (1) [يَسْئَلُ]ونَ (3) [يَسْئَلُ]ونَكَ (9) [يَسْئَلْكُم] (1) [يَسْئَلْكُم]ُوهَا (1) يُسْئَلُ (3) [يُسْئَلُ]ونَ (1)
سءم,3, تَسْئَمُوا يَسْئَمُ يَسْئَمُونَ,3,vowel,[تَسْئَمُوا] (1) يَسْئَمُ (1) [يَسْئَمُ]ونَ (1)
سبء,2, سَبَإٍ لِسَبَإٍ,3,vowel,سَبَإٍ (1) لِسَبَإٍ (1)
سبب,4, بِسَبَبٍ تَسُبُّوا سَبَبًا فَيَسُبُّوا,3,no vowel,(14/1) أَسْبَابَ (1) الأَسْبَابَ (1) الأَسْبَابُ (1) الأَسْبَابِ (1) بِسَبَبٍ (1) [تَسُبُّوا] (1) [سَبَبًا] (4) [فَيَسُبُّوا] (1)
سبت,5, السَّبْتُ السَّبْتِ سَبْتِهِم سُبَاتًا يَسْبِتُونَ,3,no vowel,السَّبْتُ (1) السَّبْتِ (4) [سَبْتِهِم] (1) [سُبَاتًا] (2) يَسْبِتُونَ (1)
سبح,31, الْمُسَبِّحُونَ الْمُسَبِّحِينَ تَسْبِيحَهُم تُسَبِّحُ تُسَبِّحُونَ سَبَّحَ سَبِّحُوا سَبِّحِ سَبْحًا سُبْحَانَ سُبْحَانَكَ سُبْحَانَهُ فَسَبِّح فَسَبِّحْهُ فَسُبْحَانَ نُسَبِّحَكَ نُسَبِّحُ وَالسَّابِحَاتِ وَتَسْبِيحَهُ وَتُسَبِّحُوهُ وَسَبَّحُوا وَسَبِّح وَسَبِّحُوهُ وَسَبِّحْهُ وَسُبْحَانَ وَيُسَبِّحُ وَيُسَبِّحُونَهُ يَسْبَحُونَ يُسَبِّحُ يُسَبِّحُونَ يُسَبِّحْنَ,3,no vowel,الْمُسَبِّحُونَ (1) الْمُ[سَبِّحِ]ينَ (1) [تَسْبِيحَهُم] (1) تُسَبِّحُ (1) [تُسَبِّحُ]ونَ (1) سَبَّحَ (3) [سَبِّحُوا] (1) سَبِّحِ (1) [سَبْحًا] (2) سُبْحَانَ (13) [سُبْحَانَ]كَ (9) [سُبْحَانَ]هُ (14) [فَسَبِّح] (6) [فَسَبِّح]ْهُ (2) فَسُبْحَانَ (3) نُسَبِّحَكَ (1) نُسَبِّحُ (1) وَالسَّابِحَاتِ (1) وَتَسْبِيحَهُ (1) وَ[تُسَبِّحُ]وهُ (1) [وَسَبَّحُوا] (1) [وَسَبِّح] (6) [وَسَبِّح]ُوهُ (1) [وَسَبِّح]ْهُ (1) وَسُبْحَانَ (2) وَيُسَبِّحُ (1) [وَيُسَبِّحُ]ونَهُ (1) يَسْبَحُونَ (2) يُسَبِّحُ (6) [يُسَبِّحُ]ونَ (5) يُسَبِّحْنَ (2)
سبط,0,,3,no vowel,أَسْبَاطًا (1) وَالأَسْبَاطَ (1) وَالأَسْبَاطِ (3)
سبع,14, السَّبُعُ السَّبْعُ السَّبْعِ سَبْعًا سَبْعٌ سَبْعَ سَبْعَةٌ سَبْعَةُ سَبْعُونَ سَبْعِ سَبْعِينَ وَسَبْعَ وَسَبْعَةٍ وَسَبْعِ,3,no vowel,السَّبُعُ (1) السَّبْعُ (1) السَّبْعِ (1) [سَبْعًا] (2) سَبْعٌ (3) سَبْعَ (10) [سَبْعَ]ةٌ (1) [سَبْعَ]ةُ (2) سَبْعُونَ (1) سَبْعِ (1) [سَبْعِ]ينَ (2) وَسَبْعَ (1) وَ[سَبْعَ]ةٍ (1) وَسَبْعِ (1)
سبغ,1, سَابِغَاتٍ,3,no vowel,سَابِغَاتٍ (1) وَأَسْبَغَ (1)
سبق,22, السَّابِقُونَ بِمَسْبُوقِينَ تَسْبِقُ سَابِقٌ سَابِقُ سَابِقُوا سَابِقُونَ سَابِقِينَ سَبَقَ سَبَقَت سَبَقَكُم سَبَقُوا سَبَقُونَا سَبْقًا فَاسْتَبَقُوا فَاسْتَبِقُوا فَالسَّابِقَاتِ نَسْتَبِقُ وَاسْتَبَقَا وَالسَّابِقُونَ يَسْبِقُونَا يَسْبِقُونَهُ,3,no vowel,(14/2) السَّابِقُونَ (1) بِمَسْبُوقِينَ (2) تَسْبِقُ (2) سَابِقٌ (1) سَابِقُ (1) [سَابِقُ]وا (1) [سَابِقُ]ونَ (1) سَابِقِينَ (1) سَبَقَ (4) [سَبَقَ]ت (7) [سَبَقَ]كُم (2) [سَبَقُوا] (1) [سَبَقُونَا] (2) [سَبْقًا] (1) [فَاسْتَبَقُوا] (1) [فَاسْتَبِقُوا] (2) فَالسَّابِقَاتِ (1) نَسْتَبِقُ (1) [وَاسْتَبَقَا] (1) وَالسَّابِقُونَ (2) [يَسْبِقُونَا] (1) يَسْبِقُونَهُ (1)
سبل,23, السَّبِيلاَ السَّبِيلَ السَّبِيلُ السَّبِيلِ السُّبُلَ سَبِيلاً سَبِيلٌ سَبِيلٍ سَبِيلَ سَبِيلَكَ سَبِيلَنَا سَبِيلَهُ سَبِيلَهُم سَبِيلُ سَبِيلِ سَبِيلِكَ سَبِيلِهِ سَبِيلِي سُبُلاً سُبُلَ سُبُلَنَا لَبِسَبِيلٍ وَسُبُلاً,3,no vowel,السَّبِيلاَ (1) السَّبِيلَ (6) السَّبِيلُ (2) السَّبِيلِ (20) السُّبُلَ (1) سَبِيلاً (29) سَبِيلٌ (1) سَبِيلٍ (6) سَبِيلَ (7) [سَبِيلَ]كَ (1) [سَبِيلَ]نَا (1) [سَبِيلَ]هُ (2) [سَبِيلَ]هُم (1) سَبِيلُ (1) سَبِيلِ (72) [سَبِيلِ]كَ (1) [سَبِيلِ]هِ (11) [سَبِيلِ]ي (3) سُبُلاً (4) سُبُلَ (2) [سُبُلَ]نَا (2) لَبِسَبِيلٍ (1) وَسُبُلاً (1)
