Term,Normalized Term,Root,Is Sure,Source
الْأَبُّ,الأب,	أب ب,TRUE,mukhtar.bok
تَجْصِيصًا,تجصيصا,	ج ص ص,TRUE,mukhtar.bok
الْجَظُّ,الجظ,	ج ظ ظ,TRUE,mukhtar.bok
جَعْدٌ,جعد,	ج ع د,TRUE,mukhtar.bok
الْجُعُودَةِ,الجعودة,	ج ع د,TRUE,mukhtar.bok
جَعُدَ,جعد,	ج ع د,TRUE,mukhtar.bok
جَعَّدَهُ,جعده,	ج ع د,TRUE,mukhtar.bok
تَجْعِيدًا,تجعيدا,	ج ع د,TRUE,mukhtar.bok
الْجَعْدُ,الجعد,	ج ع د,TRUE,mukhtar.bok
جَعْدُ,جعد,	ج ع د,TRUE,mukhtar.bok
الْجَعْسُ,الجعس,	ج ع س,TRUE,mukhtar.bok
جَعَلَ,جعل,	ج ع ل,TRUE,mukhtar.bok
مَجْعَلًا,مجعلا,	ج ع ل,TRUE,mukhtar.bok
جَعَلَهُ,جعله,	ج ع ل,TRUE,mukhtar.bok
الْجِعَالَةُ,الجعالة,	ج ع ل,TRUE,mukhtar.bok
الْجَعِيلَةُ,الجعيلة,	ج ع ل,TRUE,mukhtar.bok
الْجُعَلُ,الجعل,	ج ع ل,TRUE,mukhtar.bok
اجْتَعَلَ,اجتعل,	ج ع ل,TRUE,mukhtar.bok
الْجُفَاءُ,الجفاأ,	ج ف أ,TRUE,mukhtar.bok
جَفَأَ,جفأ,	ج ف أ,TRUE,mukhtar.bok
الْجَفْرُ,الجفر,	ج ف ر,TRUE,mukhtar.bok
جَفَرَ,جفر,	ج ف ر,TRUE,mukhtar.bok
جَفْرَةٌ,جفرة,	ج ف ر,TRUE,mukhtar.bok
جُفَّةً,جفة,	ج ف ف,TRUE,mukhtar.bok
جَفَّ,جف,	ج ف ف,TRUE,mukhtar.bok
جَفَافًا,جفافا,	ج ف ف,TRUE,mukhtar.bok
جُفُوفًا,جفوفا,	ج ف ف,TRUE,mukhtar.bok
جَفَّفَهُ,جففه,	ج ف ف,TRUE,mukhtar.bok
جَفَلَ,جفل,	ج ف ل,TRUE,mukhtar.bok
الْجَافِلُ,الجافل,	ج ف ل,TRUE,mukhtar.bok
أَجْفَلَ,أجفل,	ج ف ل,TRUE,mukhtar.bok
الْجَفْنُ,الجفن,	ج ف ن,TRUE,mukhtar.bok
جِفَانٌ,جفان,	ج ف ن,TRUE,mukhtar.bok
جَفَنَاتٌ,جفنات,	ج ف ن,TRUE,mukhtar.bok
الْجَفَاءُ,الجفاأ,	ج ف ا,TRUE,mukhtar.bok
جَفَوْتُهُ,جفوته,	ج ف ا,TRUE,mukhtar.bok
جَفَاءً,جفاأ,	ج ف ا,TRUE,mukhtar.bok
مَجْفُوٌّ,مجفو,	ج ف ا,TRUE,mukhtar.bok
تَجَافَى,تجافى,	ج ف ا,TRUE,mukhtar.bok
اسْتَجْفَاهُ,استجفاه,	ج ف ا,TRUE,mukhtar.bok
الْجَرْدَقَةِ,الجردقة,	ج ق,TRUE,mukhtar.bok
الْجُرْمُوقُ,الجرموق,	ج ق,TRUE,mukhtar.bok
الْجَرَامِقَةُ,الجرامقة,	ج ق,TRUE,mukhtar.bok
الْجَوْسَقُ,الجوسق,	ج ق,TRUE,mukhtar.bok
جِلِّقٌ,جلق,	ج ق,TRUE,mukhtar.bok
الْجَوَالِقُ,الجوالق,	ج ق,TRUE,mukhtar.bok
الْجَوَالِقَاتُ,الجوالقات,	ج ق,TRUE,mukhtar.bok
الْجُلَاهِقُ,الجلاهق,	ج ق,TRUE,mukhtar.bok
جَلَنْبَلَقْ,جلنبلق,	ج ق,TRUE,mukhtar.bok
الْمَنْجَنِيقُ,المنجنيق,	ج ق,TRUE,mukhtar.bok
مَنْجَنِيقَاتٌ,منجنيقات,	ج ق,TRUE,mukhtar.bok
مَجَانِيقُ,مجانيق,	ج ق,TRUE,mukhtar.bok
مُجَيْنِيقٌ,مجينيق,	ج ق,TRUE,mukhtar.bok
الْجَوْقَةُ,الجوقة,	ج ق,TRUE,mukhtar.bok
ج ق,جق,	ج ق,TRUE,mukhtar.bok
جَلَبَ,جلب,	ج ل ب,TRUE,mukhtar.bok
جَلَبًا,جلبا,	ج ل ب,TRUE,mukhtar.bok
جَلَبَ,جلب,	ج ل ب,TRUE,mukhtar.bok
اجْتَلَبَهُ,اجتلبه,	ج ل ب,TRUE,mukhtar.bok
جَلَبَ,جلب,	ج ل ب,TRUE,mukhtar.bok
جَلَبًا,جلبا,	ج ل ب,TRUE,mukhtar.bok
أَجْلَبَ,أجلب,	ج ل ب,TRUE,mukhtar.bok
الْجِلْبَابُ,الجلباب,	ج ل ب,TRUE,mukhtar.bok
الْجَلَابِيبُ,الجلابيب,	ج ل ب,TRUE,mukhtar.bok
الْجَلَبُ,الجلب,	ج ل ب,TRUE,mukhtar.bok
الْجَلَبَةُ,الجلبة,	ج ل ب,TRUE,mukhtar.bok
الْجَلَدُ,الجلد,	ج ل د,TRUE,mukhtar.bok
جَلَّدَ,جلد,	ج ل د,TRUE,mukhtar.bok
تَجْلِيدًا,تجليدا,	ج ل د,TRUE,mukhtar.bok
جَلَدَهُ,جلده,	ج ل د,TRUE,mukhtar.bok
ضَرَبَهُ,ضربه,	ج ل د,TRUE,mukhtar.bok
الْجَلَادَةُ,الجلادة,	ج ل د,TRUE,mukhtar.bok
جَلَدًا,جلدا,	ج ل د,TRUE,mukhtar.bok
مَجْلُودًا,مجلودا,	ج ل د,TRUE,mukhtar.bok
جُلَدَاءُ,جلداأ,	ج ل د,TRUE,mukhtar.bok
أَجْلَادٌ,أجلاد,	ج ل د,TRUE,mukhtar.bok
التَّجَلُّدُ,التجلد,	ج ل د,TRUE,mukhtar.bok
جَلَسَ,جلس,	ج ل س,TRUE,mukhtar.bok
جُلُوسًا,جلوسا,	ج ل س,TRUE,mukhtar.bok
أَجْلَسَهُ,أجلسه,	ج ل س,TRUE,mukhtar.bok
جُلُوسٌ,جلوس,	ج ل س,TRUE,mukhtar.bok
الْمَجْلِسُ,المجلس,	ج ل س,TRUE,mukhtar.bok
جُلَسَةٌ,جلسة,	ج ل س,TRUE,mukhtar.bok
الْجُلُوسِ,الجلوس,	ج ل س,TRUE,mukhtar.bok
الْجِلْسَةُ,الجلسة,	ج ل س,TRUE,mukhtar.bok
الْجَالِسُ,الجالس,	ج ل س,TRUE,mukhtar.bok
جَالَسَهُ,جالسه,	ج ل س,TRUE,mukhtar.bok
جِلْسُهُ,جلسه,	ج ل س,TRUE,mukhtar.bok
جَلِيسُهُ,جليسه,	ج ل س,TRUE,mukhtar.bok
تَجَالَسُوا,تجالسوا,	ج ل س,TRUE,mukhtar.bok
جِلْفٌ,جلف,	ج ل ف,TRUE,mukhtar.bok
ج ق,جق,	ج ل ف,TRUE,mukhtar.bok
الْجُلُّ,الجل,	ج ل ل,TRUE,mukhtar.bok
جِلَالِ,جلال,	ج ل ل,TRUE,mukhtar.bok
أَجِلَّةٌ,أجلة,	ج ل ل,TRUE,mukhtar.bok
جُلُّ,جل,	ج ل ل,TRUE,mukhtar.bok
جَلَالُ,جلال,	ج ل ل,TRUE,mukhtar.bok
جَلَالِكَ,جلالك,	ج ل ل,TRUE,mukhtar.bok
الْجَلَّالَةُ,الجلالة,	ج ل ل,TRUE,mukhtar.bok
الْجَلِيلُ,الجليل,	ج ل ل,TRUE,mukhtar.bok
الْجُلْجُلُ,الجلجل,	ج ل ل,TRUE,mukhtar.bok
الْجَلَاجِلِ,الجلاجل,	ج ل ل,TRUE,mukhtar.bok
الْجَلْجَلَةُ,الجلجلة,	ج ل ل,TRUE,mukhtar.bok
تَجَلْجَلَ,تجلجل,	ج ل ل,TRUE,mukhtar.bok
جَلَّ,جل,	ج ل ل,TRUE,mukhtar.bok
الْجَلَّالَةَ,الجلالة,	ج ل ل,TRUE,mukhtar.bok
جَلَّ,جل,	ج ل ل,TRUE,mukhtar.bok
جَلَالَةً,جلالة,	ج ل ل,TRUE,mukhtar.bok
جَلِيلٌ,جليل,	ج ل ل,TRUE,mukhtar.bok
أَجَلَّهُ,أجله,	ج ل ل,TRUE,mukhtar.bok
تَجْلِيلُ,تجليل,	ج ل ل,TRUE,mukhtar.bok
الْجَلَمُ,الجلم,	ج ل م,TRUE,mukhtar.bok
الْجَلِيُّ,الجلي,	ج ل ا,TRUE,mukhtar.bok
الْجَلِيَّةُ,الجلية,	ج ل ا,TRUE,mukhtar.bok
الْجَالِيَةِ,الجالية,	ج ل ا,TRUE,mukhtar.bok
الْجَلَاءُ,الجلاأ,	ج ل ا,TRUE,mukhtar.bok
جَلَاءً,جلاأ,	ج ل ا,TRUE,mukhtar.bok
الْجَلَاءُ,الجلاأ,	ج ل ا,TRUE,mukhtar.bok
جَلَوْا,جلوا,	ج ل ا,TRUE,mukhtar.bok
جَلَاهُمْ,جلاهم,	ج ل ا,TRUE,mukhtar.bok
أَجْلَوْا,أجلوا,	ج ل ا,TRUE,mukhtar.bok
جَلَا,جلا,	ج ل ا,TRUE,mukhtar.bok
جِلَاءً,جلاأ,	ج ل ا,TRUE,mukhtar.bok
جَلَا,جلا,	ج ل ا,TRUE,mukhtar.bok
جِلَاءً,جلاأ,	ج ل ا,TRUE,mukhtar.bok
جَلَا,جلا,	ج ل ا,TRUE,mukhtar.bok
جِلَاءً,جلاأ,	ج ل ا,TRUE,mukhtar.bok
جِلْوَةً,جلوة,	ج ل ا,TRUE,mukhtar.bok
مَجْلُوَّةً,مجلوة,	ج ل ا,TRUE,mukhtar.bok
الْجِلَاءُ,الجلاأ,	ج ل ا,TRUE,mukhtar.bok
جَلَّى,جلى,	ج ل ا,TRUE,mukhtar.bok
تَجْلِيَةً,تجلية,	ج ل ا,TRUE,mukhtar.bok
تَجَلَّى,تجلى,	ج ل ا,TRUE,mukhtar.bok
جَمَحَ,جمح,	ج م ح,TRUE,mukhtar.bok
جِمَاحًا,جماحا,	ج م ح,TRUE,mukhtar.bok
جَمُوحٌ,جموح,	ج م ح,TRUE,mukhtar.bok
جَمَحَ,جمح,	ج م ح,TRUE,mukhtar.bok
الْجَمْدُ,الجمد,	ج م د,TRUE,mukhtar.bok
الْجَمَدُ,الجمد,	ج م د,TRUE,mukhtar.bok
جَامِدٍ,جامد,	ج م د,TRUE,mukhtar.bok
جَمَدَ,جمد,	ج م د,TRUE,mukhtar.bok
جُمَادَى,جمادى,	ج م د,TRUE,mukhtar.bok
الْجَمْرُ,الجمر,	ج م ر,TRUE,mukhtar.bok
جَمْرَةٍ,جمرة,	ج م ر,TRUE,mukhtar.bok
جَمَرَاتِ,جمرات,	ج م ر,TRUE,mukhtar.bok
الْجَمْرَةُ,الجمرة,	ج م ر,TRUE,mukhtar.bok
الْمِجْمَرَةُ,المجمرة,	ج م ر,TRUE,mukhtar.bok
الْمَجَامِرِ,المجامر,	ج م ر,TRUE,mukhtar.bok
الْمُجْمَرُ,المجمر,	ج م ر,TRUE,mukhtar.bok
أَجْمَرَتُ,أجمرت,	ج م ر,TRUE,mukhtar.bok
مُجْمَرًا,مجمرا,	ج م ر,TRUE,mukhtar.bok
الْجُمَّارُ,الجمار,	ج م ر,TRUE,mukhtar.bok
جَمَّرَ,جمر,	ج م ر,TRUE,mukhtar.bok
تَجْمِيرًا,تجميرا,	ج م ر,TRUE,mukhtar.bok
جُمَّارَهَا,جمارها,	ج م ر,TRUE,mukhtar.bok
جَمَّرَ,جمر,	ج م ر,TRUE,mukhtar.bok
الْجِمَارَ,الجمار,	ج م ر,TRUE,mukhtar.bok
جَمَّرَ,جمر,	ج م ر,TRUE,mukhtar.bok
الْمُجَمِّرُ,المجمر,	ج م ر,TRUE,mukhtar.bok
الِاسْتِجْمَارُ,الاستجمار,	ج م ر,TRUE,mukhtar.bok
الْجَمْزُ,الجمز,	ج م ز,TRUE,mukhtar.bok
جَمَزَ,جمز,	ج م ز,TRUE,mukhtar.bok
الْجَمَّازُ,الجماز,	ج م ز,TRUE,mukhtar.bok
الْمُجَمِّزُ,المجمز,	ج م ز,TRUE,mukhtar.bok
الْجَمَّازَةُ,الجمازة,	ج م ز,TRUE,mukhtar.bok
الْجَمَّازُ,الجماز,	ج م ز,TRUE,mukhtar.bok
جَمَزَى,جمزى,	ج م ز,TRUE,mukhtar.bok
الْجُمَّيْزُ,الجميز,	ج م ز,TRUE,mukhtar.bok
الْجَامُوسُ,الجاموس,	ج م س,TRUE,mukhtar.bok
الْجَوَامِيسِ,الجواميس,	ج م س,TRUE,mukhtar.bok
الْجَمِيشُ,الجميش,	ج م ش,TRUE,mukhtar.bok
جَمَعَ,جمع,	ج م ع,TRUE,mukhtar.bok
فَاجْتَمَعَ,فاجتمع,	ج م ع,TRUE,mukhtar.bok
تَجَمَّعَ,تجمع,	ج م ع,TRUE,mukhtar.bok
الْجَمْعُ,الجمع,	ج م ع,TRUE,mukhtar.bok
جُمُوعٍ,جموع,	ج م ع,TRUE,mukhtar.bok
مَجْمَعٌ,مجمع,	ج م ع,TRUE,mukhtar.bok
الْجَمْعُ,الجمع,	ج م ع,TRUE,mukhtar.bok
جَمْعٌ,جمع,	ج م ع,TRUE,mukhtar.bok
جُمْعُ,جمع,	ج م ع,TRUE,mukhtar.bok
الْجُمُعَةِ,الجمعة,	ج م ع,TRUE,mukhtar.bok
جُمُعَاتٍ,جمعات,	ج م ع,TRUE,mukhtar.bok
جُمَعٍ,جمع,	ج م ع,TRUE,mukhtar.bok
الْجَامِعُ,الجامع,	ج م ع,TRUE,mukhtar.bok
أَجْمَعَ,أجمع,	ج م ع,TRUE,mukhtar.bok
مُجْمَعٌ,مجمع,	ج م ع,TRUE,mukhtar.bok
الْمَجْمُوعُ,المجموع,	ج م ع,TRUE,mukhtar.bok
اسْتَجْمَعَ,استجمع,	ج م ع,TRUE,mukhtar.bok
جُمَعُ,جمع,	ج م ع,TRUE,mukhtar.bok
أَجْمَعَ,أجمع,	ج م ع,TRUE,mukhtar.bok
أَجْمَعُونَ,أجمعون,	ج م ع,TRUE,mukhtar.bok
جَمْعَاءُ,جمعاأ,	ج م ع,TRUE,mukhtar.bok
جُمَعُ,جمع,	ج م ع,TRUE,mukhtar.bok
أَجْمَعُونَ,أجمعون,	ج م ع,TRUE,mukhtar.bok
أَجْمَعُ,أجمع,	ج م ع,TRUE,mukhtar.bok
جَمْعَاءُ,جمعاأ,	ج م ع,TRUE,mukhtar.bok
جُمَعُ,جمع,	ج م ع,TRUE,mukhtar.bok
بِأَجْمَعِهِمْ,بأجمعهم,	ج م ع,TRUE,mukhtar.bok
جَمِيعٌ,جميع,	ج م ع,TRUE,mukhtar.bok
جِمَاعُ,جماع,	ج م ع,TRUE,mukhtar.bok
جَمَّعَ,جمع,	ج م ع,TRUE,mukhtar.bok
تَجْمِيعًا,تجميعا,	ج م ع,TRUE,mukhtar.bok
جَمَّعَ,جمع,	ج م ع,TRUE,mukhtar.bok
جَامَعَهُ,جامعه,	ج م ع,TRUE,mukhtar.bok
الْجَمَلُ,الجمل,	ج م ل,TRUE,mukhtar.bok
جِمَالٌ,جمال,	ج م ل,TRUE,mukhtar.bok
أَجْمَالٌ,أجمال,	ج م ل,TRUE,mukhtar.bok
جِمَالَاتٌ,جمالات,	ج م ل,TRUE,mukhtar.bok
جَمَائِلُ,جماأل,	ج م ل,TRUE,mukhtar.bok
جِمَالَةٌ,جمالة,	ج م ل,TRUE,mukhtar.bok
الْجَمَالُ,الجمال,	ج م ل,TRUE,mukhtar.bok
جَمُلَ,جمل,	ج م ل,TRUE,mukhtar.bok
جَمَالًا,جمالا,	ج م ل,TRUE,mukhtar.bok
جَمِيلٌ,جميل,	ج م ل,TRUE,mukhtar.bok
جَمِيلَةٌ,جميلة,	ج م ل,TRUE,mukhtar.bok
جَمْلَاءُ,جملاأ,	ج م ل,TRUE,mukhtar.bok
الْجُمْلَةُ,الجملة,	ج م ل,TRUE,mukhtar.bok
أَجْمَلَ,أجمل,	ج م ل,TRUE,mukhtar.bok
الْجُمْلَةِ,الجملة,	ج م ل,TRUE,mukhtar.bok
الْمُجَامَلَةُ,المجاملة,	ج م ل,TRUE,mukhtar.bok
الْجُمَّلِ,الجمل,	ج م ل,TRUE,mukhtar.bok
جَمَّلَهُ تَجْمِيلًا,جملهتجميلا,	ج م ل,TRUE,mukhtar.bok
التَّجَمُّلُ,التجمل,	ج م ل,TRUE,mukhtar.bok
تَجَمَّلَ,تجمل,	ج م ل,TRUE,mukhtar.bok
الْجَمِيلَ,الجميل,	ج م ل,TRUE,mukhtar.bok
جَمَّ,جم,	ج م م,TRUE,mukhtar.bok
جُمُومًا,جموما,	ج م م,TRUE,mukhtar.bok
الْجَمُّ,الجم,	ج م م,TRUE,mukhtar.bok
الْجُمَّةُ,الجمة,	ج م م,TRUE,mukhtar.bok
الْجَمَامُ,الجمام,	ج م م,TRUE,mukhtar.bok
جَمَّ,جم,	ج م م,TRUE,mukhtar.bok
أُجِمَّ,أجم,	ج م م,TRUE,mukhtar.bok
جُمَّ,جم,	ج م م,TRUE,mukhtar.bok
أَجْمِمْ,أجمم,	ج م م,TRUE,mukhtar.bok
الْجَمَّاءُ,الجماأ,	ج م م,TRUE,mukhtar.bok
جَمَّاءُ,جماأ,	ج م م,TRUE,mukhtar.bok
لَأَسْتَجِمُّ,لأستجم,	ج م م,TRUE,mukhtar.bok
جَمْجَمَ,جمجم,	ج م م,TRUE,mukhtar.bok
تَجَمْجَمَ,تجمجم,	ج م م,TRUE,mukhtar.bok
الْجُمْجُمَةُ,الجمجمة,	ج م م,TRUE,mukhtar.bok
الْجَمِيمُ,الجميم,	ج م م,TRUE,mukhtar.bok
الْجُمَانَةُ,الجمانة,	ج م ن,TRUE,mukhtar.bok
جُمَانٌ,جمان,	ج م ن,TRUE,mukhtar.bok
الْجَنْبُ,الجنب,	ج ن ب,TRUE,mukhtar.bok
جَانِبِهِ,جانبه,	ج ن ب,TRUE,mukhtar.bok
الْجَنْبُ,الجنب,	ج ن ب,TRUE,mukhtar.bok
الْجَانِبُ,الجانب,	ج ن ب,TRUE,mukhtar.bok
الْجَنَبَةُ,الجنبة,	ج ن ب,TRUE,mukhtar.bok
بِالْجَنْبِ,بالجنب,	ج ن ب,TRUE,mukhtar.bok
جَانَبَهُ,جانبه,	ج ن ب,TRUE,mukhtar.bok
تَجَانَبَهُ,تجانبه,	ج ن ب,TRUE,mukhtar.bok
اجْتَنَبَهُ,اجتنبه,	ج ن ب,TRUE,mukhtar.bok
أَجْنَبِيٌّ,أجنبي,	ج ن ب,TRUE,mukhtar.bok
أَجْنَبُ,أجنب,	ج ن ب,TRUE,mukhtar.bok
جُنُبٌ,جنب,	ج ن ب,TRUE,mukhtar.bok
جَانِبٌ,جانب,	ج ن ب,TRUE,mukhtar.bok
جَنَبَهُ,جنبه,	ج ن ب,TRUE,mukhtar.bok
جَنَّبَهُ,جنبه,	ج ن ب,TRUE,mukhtar.bok
تَجْنِيبًا,تجنيبا,	ج ن ب,TRUE,mukhtar.bok
الْجَنَابُ,الجناب,	ج ن ب,TRUE,mukhtar.bok
الْجَنِيبُ,الجنيب,	ج ن ب,TRUE,mukhtar.bok
جُنُبٌ,جنب,	ج ن ب,TRUE,mukhtar.bok
الْجَنَابَةِ,الجنابة,	ج ن ب,TRUE,mukhtar.bok
أَجْنَابٌ,أجناب,	ج ن ب,TRUE,mukhtar.bok
جُنُبُونَ,جنبون,	ج ن ب,TRUE,mukhtar.bok
أَجْنَبَ,أجنب,	ج ن ب,TRUE,mukhtar.bok
جَنُبَ,جنب,	ج ن ب,TRUE,mukhtar.bok
الْجَنُوبُ,الجنوب,	ج ن ب,TRUE,mukhtar.bok
جَنَحَ,جنح,	ج ن ح,TRUE,mukhtar.bok
جُنُوحُ,جنوح,	ج ن ح,TRUE,mukhtar.bok
الْجَوَانِحُ,الجوانح,	ج ن ح,TRUE,mukhtar.bok
جَانِحَةٌ,جانحة,	ج ن ح,TRUE,mukhtar.bok
جَنَاحُ,جناح,	ج ن ح,TRUE,mukhtar.bok
أَجْنِحَةٌ,أجنحة,	ج ن ح,TRUE,mukhtar.bok
الْجُنَاحُ,الجناح,	ج ن ح,TRUE,mukhtar.bok
جُنْحُ,جنح,	ج ن ح,TRUE,mukhtar.bok
الْجُنْدُ,الجند,	ج ن د,TRUE,mukhtar.bok
جَنَّدَ الْجُنُودَ تَجْنِيدًا,جندالجنودتجنيدا,	ج ن د,TRUE,mukhtar.bok
الْجِنَازَةُ,الجنازة,	ج ن ز,TRUE,mukhtar.bok
الْجَنَائِزِ,الجناأز,	ج ن ز,TRUE,mukhtar.bok
الْجِنْسُ,الجنس,	ج ن س,TRUE,mukhtar.bok
الْمُجَانَسَةُ,المجانسة,	ج ن س,TRUE,mukhtar.bok
التَّجْنِيسُ,التجنيس,	ج ن س,TRUE,mukhtar.bok
الْجَنَفُ,الجنف,	ج ن ف,TRUE,mukhtar.bok
جَنِفَ,جنف,	ج ن ف,TRUE,mukhtar.bok
تَجَانَفَ,تجانف,	ج ن ف,TRUE,mukhtar.bok
جَنَّهُ,جنه,	ج ن ن,TRUE,mukhtar.bok
جُنُونًا,جنونا,	ج ن ن,TRUE,mukhtar.bok
أَجَنَّهُ,أجنه,	ج ن ن,TRUE,mukhtar.bok
الْجِنُّ,الجن,	ج ن ن,TRUE,mukhtar.bok
جِنِّيٌّ,جني,	ج ن ن,TRUE,mukhtar.bok
جُنَّ,جن,	ج ن ن,TRUE,mukhtar.bok
جُنُونًا,جنونا,	ج ن ن,TRUE,mukhtar.bok
أَجَنَّهُ,أجنه,	ج ن ن,TRUE,mukhtar.bok
مَا أَجَنَّهُ,ماأجنه,	ج ن ن,TRUE,mukhtar.bok
أَجَنَّتِ,أجنت,	ج ن ن,TRUE,mukhtar.bok
الْجَنِينُ,الجنين,	ج ن ن,TRUE,mukhtar.bok
أَجِنَّةٌ,أجنة,	ج ن ن,TRUE,mukhtar.bok
الْجُنَّةُ,الجنة,	ج ن ن,TRUE,mukhtar.bok
الْجُنَّةُ,الجنة,	ج ن ن,TRUE,mukhtar.bok
جُنَنٌ,جنن,	ج ن ن,TRUE,mukhtar.bok
اسْتَجَنَّ,استجن,	ج ن ن,TRUE,mukhtar.bok
الْمِجَنُّ,المجن,	ج ن ن,TRUE,mukhtar.bok
مَجَانُّ,مجان,	ج ن ن,TRUE,mukhtar.bok
الْجَنَّةُ,الجنة,	ج ن ن,TRUE,mukhtar.bok
الْجَنَّاتُ,الجنات,	ج ن ن,TRUE,mukhtar.bok
جَنَّةً,جنة,	ج ن ن,TRUE,mukhtar.bok
الْجِنَانُ,الجنان,	ج ن ن,TRUE,mukhtar.bok
الْجِنَّةُ,الجنة,	ج ن ن,TRUE,mukhtar.bok
الْجِنَّةُ,الجنة,	ج ن ن,TRUE,mukhtar.bok
الْجَانُّ,الجان,	ج ن ن,TRUE,mukhtar.bok
تَجَنَّنَ,تجنن,	ج ن ن,TRUE,mukhtar.bok
تَجَانَنَ,تجانن,	ج ن ن,TRUE,mukhtar.bok
تَجَانَّ,تجان,	ج ن ن,TRUE,mukhtar.bok
مَجَنَّةٌ,مجنة,	ج ن ن,TRUE,mukhtar.bok
الِاجْتِنَانُ,الاجتنان,	ج ن ن,TRUE,mukhtar.bok
الْمَجْنُونُ,المجنون,	ج ن ن,TRUE,mukhtar.bok
الْمَنْجَنِينُ,المنجنين,	ج ن ن,TRUE,mukhtar.bok
جَنَى,جنى,	ج ن ي,TRUE,mukhtar.bok
اجْتَنَاهَا,اجتناها,	ج ن ي,TRUE,mukhtar.bok
الْجَنَى,الجنى,	ج ن ي,TRUE,mukhtar.bok
بِجَنَاةٍ,بجناة,	ج ن ي,TRUE,mukhtar.bok
جَنَى,جنى,	ج ن ي,TRUE,mukhtar.bok
جِنَايَةً,جناية,	ج ن ي,TRUE,mukhtar.bok
التَّجَنِّي,التجني,	ج ن ي,TRUE,mukhtar.bok
أَجَابَهُ,أجابه,	ج وب,TRUE,mukhtar.bok
أَجَابَ,أجاب,	ج وب,TRUE,mukhtar.bok
الْإِجَابَةُ,الأجابة,	ج وب,TRUE,mukhtar.bok
الْجَابَةُ,الجابة,	ج وب,TRUE,mukhtar.bok
الْإِجَابَةُ,الأجابة,	ج وب,TRUE,mukhtar.bok
الِاسْتِجَابَةُ,الاستجابة,	ج وب,TRUE,mukhtar.bok
اسْتَجَابَ,استجاب,	ج وب,TRUE,mukhtar.bok
الْمُجَاوَبَةُ,المجاوبة,	ج وب,TRUE,mukhtar.bok
التَّجَاوُبُ,التجاوب,	ج وب,TRUE,mukhtar.bok
جَابَ,جاب,	ج وب,TRUE,mukhtar.bok
جُبْتُ,جبت,	ج وب,TRUE,mukhtar.bok
اجَتَبْتُهَا,اجتبتها,	ج وب,TRUE,mukhtar.bok
جَاحَ,جاح,	ج وح,TRUE,mukhtar.bok
الْجَائِحَةُ,الجاأحة,	ج وح,TRUE,mukhtar.bok
جَاحَتْهُمْ,جاحتهم,	ج وح,TRUE,mukhtar.bok
اجْتَاحَتْهُمْ,اجتاحتهم,	ج وح,TRUE,mukhtar.bok
جَاحَ,جاح,	ج وح,TRUE,mukhtar.bok
أَجَاحَهُ,أجاحه,	ج وح,TRUE,mukhtar.bok
جَيِّدٌ,جيد,	ج ود,TRUE,mukhtar.bok
جِيَادٌ,جياد,	ج ود,TRUE,mukhtar.bok
جَيَائِدُ,جياأد,	ج ود,TRUE,mukhtar.bok
جَادَ,جاد,	ج ود,TRUE,mukhtar.bok
جُودًا,جودا,	ج ود,TRUE,mukhtar.bok
جَوَادٌ,جواد,	ج ود,TRUE,mukhtar.bok
جُودٌ,جود,	ج ود,TRUE,mukhtar.bok
أَجْوَادٌ,أجواد,	ج ود,TRUE,mukhtar.bok
أَجَاوِدُ,أجاود,	ج ود,TRUE,mukhtar.bok
جُوَدَاءُ,جوداأ,	ج ود,TRUE,mukhtar.bok
جَوَادٌ,جواد,	ج ود,TRUE,mukhtar.bok
جُودٌ,جود,	ج ود,TRUE,mukhtar.bok
جَوْدَةً,جودة,	ج ود,TRUE,mukhtar.bok
الْجُودِيُّ,الجودي,	ج ود,TRUE,mukhtar.bok
أَجَادَ,أجاد,	ج ود,TRUE,mukhtar.bok
فَجَادَ,فجاد,	ج ود,TRUE,mukhtar.bok
جَوَّدَهُ,جوده,	ج ود,TRUE,mukhtar.bok
تَجْوِيدًا,تجويدا,	ج ود,TRUE,mukhtar.bok
مِجْوَادٌ,مجواد,	ج ود,TRUE,mukhtar.bok
أَجَادَ,أجاد,	ج ود,TRUE,mukhtar.bok
جِيَادًا,جيادا,	ج ود,TRUE,mukhtar.bok
اسْتَجَادَهُ,استجاده,	ج ود,TRUE,mukhtar.bok
الْجِيدُ,الجيد,	ج ود,TRUE,mukhtar.bok
أَجْيَادٌ,أجياد,	ج ود,TRUE,mukhtar.bok
الْجَوْرُ,الجور,	ج ور,TRUE,mukhtar.bok
جَارَ,جار,	ج ور,TRUE,mukhtar.bok
جُورُ,جور,	ج ور,TRUE,mukhtar.bok
الْجَارُ,الجار,	ج ور,TRUE,mukhtar.bok
جَاوَرَهُ مُجَاوَرَةً,جاورهمجاورة,	ج ور,TRUE,mukhtar.bok
جِوَارًا,جوارا,	ج ور,TRUE,mukhtar.bok
تَجَاوَرُوا,تجاوروا,	ج ور,TRUE,mukhtar.bok
اجْتَوَرُوا,اجتوروا,	ج ور,TRUE,mukhtar.bok
الْمُجَاوَرَةُ,المجاورة,	ج ور,TRUE,mukhtar.bok
جَارَتُهُ,جارته,	ج ور,TRUE,mukhtar.bok
اسْتَجَارَهُ,استجاره,	ج ور,TRUE,mukhtar.bok
فَأَجَارَهُ,فأجاره,	ج ور,TRUE,mukhtar.bok
جَازَ,جاز,	ج وز,TRUE,mukhtar.bok
