Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
بقع,25, البَقَعُ والبُقْعَةُ والبَقْعَةُ بِقَاعٌ وبُقَعٌ البُقْعَةِ والبَقِيْعُ بَقِيْعُ بَقَعَ بُقُوْعاً وبَقِعَتِ والبُقْعَةُ وبَقعَ وبَقَعَتهُم بَاقِعَة باقِعَةٌ بَقَاع وبَقَاع بَقَاع بَقاع وابتقِعَ بُقْعَانُ وبُقْعَانُ البُقْعُ بُقَيْع,3,no vowel, *بقع*	 غُراب أبْقع وكَلْبٌ أبْقَعُ فيه بَيَاضٌ وسَوادٌ والمَصْدر البَقَعُ وعَامٌ أبْقَعُ ليس فيه مَطَرٌ  والبُقْعَةُ والبَقْعَةُ  قِطْعَةٌ من الأرض على غَيْر هيئةِ الَتي إلى جَنْبِها والجميعُ بِقَاعٌ وبُقَعٌ  وفُلانٌ حَسَنُ البُقْعَةِ عندَ الأمير أي المَنْزِلة والبَقِيْعُ من الأرض مَوْضِعٌ فيه أرُوْمُ شَجَرٍ وبه سمَيَ بَقِيْعُ الغَرْقَد ولا يدْرى أيْنَ بَقَعَ في الأرْض أي ذَهَبَ بُقُوْعاً وبَقِعَتِ الأرْضُ منهُ خَلَتْ والبُقْعَةُ الرَّجُلُ ذو الكَلام الكثير في غَيْرِ طَريْقَتِه وبَقعَ لَهُ حَلفَ لَهُ على شَيْء [وبَقَعَتهُم] [بَاقِعَة] أي داهيَة ورَجُل باقِعَةٌ أيضاً وأصَابَهُ خُرْءُ [[بَقَاع]] إذا عَرِقَ فيُصِيْبُه غُبارٌ فيَبْقى على جسمِه لُمع [وبَقَاع] اسْمُ أرض ويُنَونُ فيُقال [[بَقَاع]] وحُكِيَ كأنما خَيرتْ عليه [بَقاع] وابتقِعَ لوْنُه تَغيرَ  وفي الحديث بُقْعَانُ أهل الشّام يعني الخَدَمَ لبَياضِهم وبُقْعَانُ اسْمُ أرْض وكذلك البُقْعُ وتَقَاذفا بما أبْقى ابْنُ [بُقَيْع] هو الكَلْبُ وما أبْقَاهُ الجِيْفَة ولم أبْقَعْ بكذا أي لم اكْتَفِ به
عبق,7, العَبَاقِيَةُ عَبَاقِيَةً عِبِقانَة وعَبِقَ عَبقٌ فَعَبِقَ عَبَقَةٌ,3,no vowel, *عبق*	 العَبَاقِيَةُ الرجُلُ الدّاهِيَةُ وشَجَر له شَوْك والمائِقُ وأنْ يُصِيْبَ المجرْحُ في حُر الوَجْه يُقال شِيْنَ وَجْهُهُ شَيْناً عَبَاقِيَةً ورَجُلٌ وامرأةٌ [عِبِقانَة] شَرِسٌ  ورَجُلٌ عَبَاقَاءُ يَلْزَقُ بك وعَبِقَ به اوْلعَ به ورَجلٌ عَبقٌ  تَطيب فَعَبِقَ الريْحُ به أياماً وما في الَنحْي عَبَقَةٌ  أي لَطْخُ وتُسَكنُ الباء
بعق,10, بَعَقَ بُعَاقاً وبَعَقَ بُعَاقاً بُعَاقٌ وبَاعِقٌ وانْبَعَقَ وبَعَقْتُ وبَعَقْتُهُ وبَعَقْتُ,3,no vowel, *بعق*	 بَعَقَ بُعَاقاً صَوَتَ شَديْداً وبَعَقَ الوابِلُ بُعَاقاً فاجَأ ومَطَرٌ بُعَاقٌ وبَاعِقٌ  وانْبَعَقَ أيْضاً وبَعَقْتُ الإبلَ نَحَرْتَها [وبَعَقْتُ]هُ عن كذا كَشَفْتَه وبَعَقْتُ البِئْرَ حَفَرْتها
عقب,98, العَقَبُ والعَقَبَةُ العَقَبُ والعِقَابُ والعَقِبُ العَقِبِ عَقِبه عَقِباً عَقِبَ تَعْقِبَةٌ عَقِبٌ عَقِبُكَ? عَقِبٌ يُعَقبْ يُعْقِبْ والتعْقِيْبُ تُعَقبُ عَقْبٍ وعَقبَتْ عُقَب والتُعْقِبَة يُعَقبانِ عَقَبَه اعْتقَبا وتَعَاقَبا فَعَقب والعقبَة والعِقَاب والعقْبى عِقَاب وعَقب وعَاقِبَتُه وعَاقِبُه وعُقْبَاه العَقْب والعُقْبى العُقب عقْبَاناً وعُقْبى واعْقِبَ واسْتَعْقَبَ وتعقبَ وتَعَقبْتُهُ يتَعاقَبانِ عُقْبَةً عقْبَةً والعُقْبَة وعقْبُ عُقْبَةَ المعَاقَبَة؛ والعُقْبَةُ وعُقْبَةُ عُقْبَةَ عُقْبَة اعْقِبْتُ وعُقبَةُ وعِقْبَتُها عُقْبِ وعُقْبانِه عَقِبهِ وعَقْبِه وعقْبَةُ بِعُقْبَةِ بعقْبى عَقبَ وعِقابَه وعقُوْبَتَه عَقْبٌ عَقْبٍ والمِعْقَبُ والعِقَابُ والعُقَابُ والمِعْقَابُ والعَقُوْبانِ معَاقَبَةٌ ومُعْقَبَة والعُقَابُ مُعَقِّبٌ العِقْبَان العُقَابانِ عِقْبَةُ وعُقْبَتُه والعِقْبَةُ بِعَاقِبَةٍ وعَاقِبَةٌ يَعْقُبُ والعَاقِبُ والعَوَاقِبُ والمُعَاقِبَةُ عَقَبَتْ عُقُوْباً وعَاقِبَةُ والعَقِب واليَعْقُوْبُ واعْتَقَبْتُ والمعقب عَقِبَ مُعَقَبَاتٌ,3,no vowel, *عقب*	 العَقَبُ ما يُشَدُ به الرِّماحُ والسِّهامُ والعَقَبَةُ طَريْقٌ وَعْرٌ في الجَبَل والجَميعُ العَقَبُ [والعِقَاب]ُ [والعَقِب]ُ مُؤَخَرُ القَدَم وتميمٌ تُخَفِّفُه والجميعُ الأعْقاب وفُلانٌ مُوَطَأُ العَقِبِ الرَّئيس المَتْبوعووَلى على [عَقِبه] إِذا أخَذَ في وَجْهٍ ثم انْثَنى راجِعاً وأعْقَبَ خَفَفَ عَقِباً وقَوْلُ العَرَب لا عَقِبَ له أيْ وَلَداً ذَكَراً ومَالَهُ تَعْقِبَةٌ أي عَقِبٌ  ويقال للقادِم مِنْ أيْنَ [عَقِبُكَ?]َ? أي من أيْنَ أقْبَلْتَ? ولَوْ كانَ له عَقِبٌ لَتَكَلَمَ أي جَواب ووَلى ولم يُعَقبْ لم يَعْطِفْ؛ ويُقال لم يُعْقِبْ أيضاً والتعْقِيْبُ الغَزْوُ بَعْدَ الغَزْو والانْصِرافُ من الأمورِ يُريْدُها والخَيْلُ تُعَقبُ في عدْوِها لم تَزدَدْ إلا جَودةً وهو ذو عَقْبٍ  [وعَقب]َتْ علي في تلك السلْعَةِ [عُقَب] أدْرَكَني فيها دَرك [والتُعْقِبَة] الدركُ وهُما يُعَقبانِ فلاناً تَعَاوَنا عليه وكُل ما خَلَفَ شَيْئاً فقدْ [عَقَبَه] وهُما غقِيْبان وقد [اعْتقَبا] [وتَعَاقَبا] وأتى إليه خَيْراً [فَعَقب] بغيَر مُكافَأةٍ  [والعقبَة] [والعِقَاب] [والعقْبى] المُكافَأَةُ والثواب وإِذا كانَ للفَرس جَمَام بعدَ انقِطاع الجَرْي قيل له [عِقَاب] [وعَقب] الأمْرِ [وعَاقِبَتُه] [وعَاقِبُه] [وعُقْبَاه] آخِرُه وجمَعُ [العَقْب] على الأعْقاب؛ [والعُقْبى] على [العُقب] وأعْقَبَ هذا ذاك صارَ مَكانَه وأعْقَبْت الطي إذا طويْتَ البئْر فأعْقَبْتَ الحَوَامى بججارة من خَلْفِها وأعْقَبَ الأمر عقْبَاناً [وعُقْبى] واعْقِبَ عِزاً أبدل واسْتَعْقَبَ مِن كذا خَيْراً وتعقبَ واحِدٌ  وتَعَقبْتُهُ تَتبعْتَ أثَرَه وهُما يتَعاقَبانِ الرُّكُوبَ بينهما أو الأمْرَ يَرْكَبُ هذا [عُقْبَة]ً وهذا عقْبَةً [والعُقْبَة] فَرْسَخان وعقْبُ الحَوْض عُقْره ولا يَفْعلُ كذا إلا [عُقْبَة]َ القَمَرِ وذلك إِذا قّارَنَ الثُّريّا؛ وُيقارنها في السنَةِ مَرّة وهو من المعَاقَبَة؛ وذلك إِذا اسْتَوى اللَيلُ والنَّهار وقيل هو عَوْدَته إذا غَاب  [والعُقْبَة]ُ كُلّ ما يُرْعى بَعدَ الحُمُوْضَة وعُقْبَةُ النّاس بَعد الطًعام الحَلْوَاء ولَقِيْتُ منه [عُقْبَة]َ الضبُع أي الشَدَة وحُكِيَ  كنْتُ مَرهً نشبَةَ وأنا اليَوْمَ [عُقْبَة] أي كنتُ أنْشب في الشًر قَديماً قَوياً واليومَ اعْقِبْتُ ضَعْفَاَ وعُقبَةُ القِمْرِ [وعِقْبَتُها] ما يَبْقى فيها من المَرَقِ عندَ رَدَها إذا استَعاروها وجِئْت في عُقْبِ الشَهْر [وعُقْبانِه] أي بَعْدَ ما يَمْضِي وفي [عَقِبه]ِ [وعَقْبِه] إِذا بقِيَتْ منه بَقِيَةٌ  وعقْبَةُ اسْم رَجُلً وأخَذَ بِ[عُقْبَة]ِ فُلانٍ  أي مَكانَه وهو عالم [بعقْبى] الكَلام أي غامضِه واحذر عَقبَ اللهِ [وعِقابَه] [وعقُوْبَتَه] وكُلُّ طَريقٍ بَعْضُها خَلْفَ بَعض أعْقَابٌ؛ كأنَّها مَنْضُودةٌ عَقْبٌ على عَقْبٍ  والمِعْقَبُ الخِمَارُ ونَجْمٌ يُهْتَدى به [والعِقَاب]ُ والعُقَابُ الخَيْطُ الذي يُجْمَعُ به طَرَفا القُرْطِ في الأذُن والمِعْقَابُ المَرْأةُ وِلادَتُها أبَداً أنْ تأتيَ بذَكَرٍ بَعْدَ أنثى والعَقُوْبانِ الخَشَبَتان تُنْصَبان على حَرْفَي البِئر والإعْقَابَةُ سِمَةٌ في الأذن وشَاةٌ معَاقَبَةٌ [ومُعْقَبَة] والعُقَابُ طائرٌ  والعَلَمُ الضَخْم تَشبيهاً به وصَخْرَةٌ ناتِئةٌ في عُرْض جَبَل أو حُولِ بئرٍ وربما كان في البئر من قِبَل الطيِّ إذا زالت الصخرةُ عن مَوْضِعِها والذي يُسوَيها مُعَقِّبٌ ْ ومَسِيْلُ الماء إلى الحَوْض والجَمْعُ في الكُل [العِقْبَان] وإذا حَلَّفْتَ الرجُلَ فلَمْ تَرْضَ بِيَمين دونَ يمينٍ  فذلك العُقَابانِ وعليه عِقْبَةُ جَمَال [وعُقْبَتُه] أي أثَرُه وكذلك في السُّرور والعِقْبَةُ لُغَةٌ في العِقْمة لِضَرْبٍ من الثياب وتَغَيرَ بِعَاقِبَةٍ  أي عن قريب وعَاقِبَةٌ من الطيْر أي يَعْقُبُ بعضُها مكانَ بعض كأنَه تَقَعُ الأخْرى مكانَ الأولى والعَاقِبُ آخِرُ الأنْبياء والعَوَاقِبُ والمُعَاقِبَةُ من الإبل التي تأكُلُ من الحَمْض مرةً ومن الخلة أخرى وقد عَقَبَتْ عُقُوْباً وعَاقِبَةُ البُرَةِ حَلْقَتُها [والعَقِب] الخَلِيْفُ واليَعْقُوْبُ ذَكَرُ القَبَج والقَطا وتسمى الخيلبعاقيب لسرعتها واعْتَقَبْتُ الشَيْءَ حَبَسْتَه [والمعقب] الذي يَتَبعُ عَقِبَ الإِنسانِ في طَلَبِ حَق وله مُعَقَبَاتٌ من جَوانِبه أي حَفَظَةٌ  العين والقاف والميم
عقم,29, عَقَامٌ وعُقَامٌ عُقَامٌ والعَقَامُ عقامٌ والعَقم عِقْمَة وعُقِمَتٍ عُقْماً عقمت وعَقمتْ مَعْقُوْمَةٌ وعَقِيْمٌ عَقِيْمٌ العقِيْمُ عَقِيم عَقِيْم العَقيمُ المَعَاقِم مَعْقُوْمَة تُعْقَمُ والاعْتِقَامُ اعْتقَمْتُ والمُعَاقِمُ وعَقِمَ وعًقّمْتُه عُقْمِيّاتٍ عُقْمِي وعَقْمَة,3,no vowel, *عقم*	 حَرْبٌ عَقَامٌ وعُقَامٌ  شَديدةٌ لا يَلْوي فيها أحَدٌ على أحَد وداء عُقَامٌ  لا يُبْرأ منه والعَقَامُ السَيِّءُ الخُلُقِ وأنْشَدَ وأنتَ عقامٌ لا يُصَابُ له هَوَى وذو هِمَةٍ في المال وهو مضُيعُ [والعَقم] المرْطُ الأحمر وقل كل ثَوْبٍ أحمر وقيل ثوب كانَ يلْبَسُ في الجاهلية وجَمْعُه [عِقْمَة] مِثْل شِيْخَة وقيل ضَرْب من الوَشْي  وعُقِمَتٍ الرحِمُ عُقْماً لِهَزمة تقَعُ فيها فلا تَقْبَلُ الولَدَ وكذلك [عقمت] المرأة وعَقمتْ وهى [مَعْقُوْمَة]ٌ وعَقِيْمٌ ورَجُلَ [عَقِيْم]ٌ أيضاً  والرٌيْحُ العقِيْمُ لا تلْقِحً شَجَراً ولا تنشئ سَحاباً والدُنيِا [عَقِيم] لا تَرد خَيْراً على صاحِبها والملْكً [عَقِيْم] لا ينفع معه نسب  وكذلك العَقْلُ العَقيمُ وهو الذي لا يَنْفَع صاحِبَه وفَرَس شَدِيْدُ [المَعَاقِم] لِمَعَاقِدِ الأرْساغ وعقْدَةٌ [مَعْقُوْمَة] مُحْكمَة وفىِ الحديث تُعْقَمُ أصْلاب الكافِرين والاعْتِقَامُ  اللَّي وفي الحَفْر المُضِي سُفْلاً يُقال اعْتقَمْتُ إذا حَفَرْتَ بئراً فإِذا قَرُبْتَ من الماءِ احْتَفَرْتَ بئراً صغيرةً بقدْرِ ما تَجِد طَعْمَ الماء؛ فإنْ كان عَذْباَّ أتْمَمْتَها والمُعَاقِمُ المخَاصِم وعَقِمَ الرجُلُ سكَتَ [وعًقّمْتُه] أنا - وفُلان ذو [عُقْمِي]ّاتٍ  أي يلَوَي خَصْمَه وكَلامِّ [عُقْمِي] غَامِضٌ  [وعَقْمَة] القَمَرِ عَوْدتُه
قعم,4, فَقعمَ والقَعَمُ والقَيْعَم والقَعْمُ,3,no vowel, *قعم*	 أقعمَ الرجُل فَقعمَ أصابه طاعون فماتَ وأقْعَمتْهُ الحَيًةً لدغته فماتَ والقَعَمُ في الأنفِ اطْمِئْنانً وَسَطِه وإشْرافُ أرْنَبَتِه ومنه خف أقْعَمُ [والقَيْعَم] السنُّوْر والقَعْمُ  الضخم المسِن من الإِبل
عمق,13, عَمِيْقَة عَمُقَتْ عَمْقاً وعَمَاقَةً عَميْق عَمْق وعمقَ والعمَاقِيَةُ والعِمْقى عَامِق عَمَقَة عَمَقٌ العُمَقُ,3,no vowel, *عمق*	 بِئرٌ [عَمِيْقَة] وقد عَمُقَتْ عَمْقاً وعَمَاقَةً وفج [عَميْق] بَعِيد وأعْماقً الأرض أطْرافها الواحِدُ [عَمْق] وعمقَ في كَلامه قعبَ والعمَاقِيَةُ اسْمُ شَجَر [والعِمْقى] شَجَرٌ وبَعيْرٌ [عَامِق] يَرْعاه  وما في النحىِ [عَمَقَة] أي لَطْخ ولكَ في الدار عَمَقٌ  أي حَق ومَنْزل من مَنازِل مكةَ العُمَقُ وأعَامِقُ  اسْمُ مَوْضِع ويَقلُّ مجيءُ هذا المِثال
معق,10, مَعِيْق معقَتْ معقَاً ومَعَاقَةً وللمَعقُ مَمْعوق ومَعَقَ وَتَمْعُقُ وتَمعقَ تَمعقَا,3,no vowel, *معق*	 بِئْر [مَعِيْق] وقد معقَتْ معقَاً ومَعَاقَةً والأمَاعِقُ والأمْعَاق أطْرافُ المَفَازَةِ البَعِيدة وللمَعقُ فسادُ المَعدَة والرجُلُ [مَمْعوق] ومَعَقَ السيْل جَرَفَ وَتَمْعُقُ أسْمُ جَبَلً وتَمعقَ امْتَلأ غَيْظاً قال رؤبَة وإنْ عدو جاهدٌ [تَمعقَا]
قمع,39, قَمَعْتُه قَمَعَةُ فانْقَمَعَ قَمَعَة والقَمَعُ قَمَعَة والقَمِيْعُ قَمِعٌ القَمَع قَمع وقمِعَ والقَمع قَمَعَة وقَمعَ وتَقَمَّعَ القَمَعَ والقَمَعُ قَمِعَتْ قَمعَةٌ القَمَع؛ والقَمَعُ قَمَعَتُه واقْتَمَعْتُ قمْعَتُه وقَمعْتُ واقْتَمَعْتُ واقْتَمَعْتُ وقَمَعْتُه قِمْعاً وتَقَمعْتَ قَمِعُ تَقمعَ قمع والقَمْعُ مقْموع والقمْعَة والقِمعانٍ والمَقامع المِقْمَعَة,3,no vowel, *[قمع]*	 [قَمَعْتُه] قَهَرْتَه وكان [[[قَمَعَة]]]ُ بن إلْياسَ اسمُه عُمَير؛ فأغِيْر َعليه؛ فانْقَمَعَ في البَيْت فَرَقاً فَسَماه أبوه [[[قَمَعَة]]] والقَمَعُ - واحِدَتُه [[[قَمَعَة]]] - والقَمِيْعُ ما فَوْقَ السنَاسنِ من السَّنَام وبعير قَمِعٌ  عَظيم [القَمَع] وسَنَامٌ [قَمع] أيضاً وقمِعَ الفَصِيل وأقْمَعَ أجْذى في سَنامِه وتَمَكَ فيه الشحم [والقَمع] - والواحدة [[[قَمَعَة]]] - ذُباب كبير أزْرَق وقَمعَ الحِمارُ مثلُ نَعِرَ وتَقَمَّعَ ذَبَّ [القَمَع]َ والقَمَعُ بَثْر في العينِ وقيل فساد في المؤْقِ واحْمِرارٌ  وقيل قَمِعَتْ عَيْني وَقَعَ فيها قَذىً فاستُخرِجَ بالخاتَم وناقَةٌ [قَمع]َةٌ  ضَبِعَةٌ  والأقْمَعُ العَظيمُ [القَمَع]؛ وهو العَظْمُ الناتىءُ في الحنجرة والقَمَعُ في عُرْقوب الفَرَس أن يَغْلُظَ [قَمَعَتُه] وهو رأسُه لا يُحدُ واقْتَمَعْتُ الشَّيْءَ اخْتَرْتً ولَكَ [قمْعَتُه] وقَمعْتُ الدَواءَ قَمَحْتَ واقْتَمَعْتُ ما في الإناء شَرِبْتَه كُله واقْتَمَعْتُ السقاءَ خَنَثْتَه ثم وَضَعْتَ الفَمَ عليه وشَرِبْتَ منه [وقَمَعْتُه] وَضَعْتَ فيه قِمْعاً وتَ[قَمع]ْتَ في الأمْر تَحَيرْتَ  وأنْ تَجْلِسَ وَحْدَك أيضاً وفَرَس قَمِعُ هَيوب وقد تَ[قمع]َ والأقْمَاع ما الْتَزَقَ بأعْلى التمْر والعنَب واحدها [قمع] ومَنَابتُ رِيْش الطائر والقَمْعُ مِثْلُ التُّخَمَة وهو [مقْموع] وأقْمَعْتُه طَلع علي فَرَددته [والقمْعَة] ما صَرَرْتَ في أعلى الجِراب والزمْعَةُ في أسْفَله والقِمعانٍ  ثَفِنَتا جلةِ التمْر وهما زاوِيَتاها السفْلَيانوالأقْمَاعِيُّ ضَربَ من العِنَب [والمَقامع] - جَمْعُ [المِقْمَعَة] - ما يُضرَبُ بها الإنْسانُ وهي أيضاً الجِرَزَةُ والأعْمِدَة من الحَدِيْد والأقمع من الأنوفِ مِثْلُ الأقْعَم
مقع,5, المَقْعُ يَمْقَعُ ومُقِعَ وامْتقِعَ والمَيْقَعُ,3,no vowel, *مقع*	 المَقْعُ في الشربِ الشدة والفَصِيْلُ يَمْقَعُ إذا رَضِعَ أمه ومُقِعَ بالعَيْنِ رُمِيَ بها وامْتقِعَ لَوْنُه تَغَيرَ والمَيْقَعُ مِثْل الحَصْبَةِ تأخُذُ الفَصِيْلَ يَقَعُ فلا يَقومُ فَيُنْحَرُ العين والكاف العين والكاف والشين
عكش,13, عَكَشَ عُكَّاشَةُ وعُكَّاشُ وعَكشَ وَتَعَكشَ عَكِشٌ التعكُّشُ عَكِشَةٌ والعُكاش عَكَشَتْ عَكِشٌ وتَعَكَشَ والعوْكَشَةُ,3,no vowel, *عكش*	 عَكَشَ على القوْم حَملَ عليهم ومنه عُكَّاشَةُ اسْمُ رَجُل وعُكَّاشُ  مَوْضِعٌ  وماءٌ لِبَني نمَيْر عليه نخلٌ وقُصور وعَكشَ الخبْزُ تَكَرجَ وَتَعَكشَ شَعَرُه تَلبدَ وشَعَرٌ عَكِشٌ  وقيل التعكُّشُ التجَمعُ من كُل شيء وشَجَرَةٌ عَكِشَةٌ مُلْتَفَةُ الأغصان [والعُكاش] ما يَلْتَوي على الشجَر كالعُصْبَة وذَكَرُ العَنْكًبُوت وقد [عَكَشَ]تْ نَسَجَت وَرجلٌ عَكِشٌ  لا يُخْرِج من نفسِه خَيْراً وتَعَكَشَ تَعسر والعوْكَشَةُ المِذْرى الذي يُذرى به الحِنْطَةُ
شكع,7, شَكِعَ شَكَعاً شَكِعٌ وشاكِعٌ والشكَاعى شُكاعى الشكَاعى,3,no vowel, *شكع*	 شَكِعَ شَكَعاً فهو شَكِعٌ وشاكِعٌ  غَضِبَ وضَجِرَ من مَرَضِه ومَل [والشكَاعى] نَبْتٌ دَقيقُ العُوْد رِخْو ويُقال للمَهزول كأنه عُوْدُ [شُكاعى] وقيل شَرِبت [الشكَاعى] أن تَشْرَبَ الدواءَ بِوَسطِ الفَم العين والكاف والضاد أهْمَلَه الخليل وحكى الخارْزَنْجيُّ  الضوْكَعَةُ الوَاني الضعيفُ الرأي والمرأةُ تَتَمايَلُ في جَنْبَيْها تُفْرِغُ المَشْيَ وضَوْكَعَ في مشْيِه أعْيا وتَضَوْكَعَ من الحَفَا ثَقُلَ العين والكاف والصاد عكص مهمل عنده وحَكى الخارزنجي رَجُل عَكِصٌ مُلْتَوٍ عَسِرٌ  وعَكَصَه كَذا عَسَرَه وَعَكِصَت الدابةُ حَرَنَتْ وتَعَكصَ عَلَي به ضَن وعَكَصُ الرمْل والطريقِ شِدةُ وُعوثَتِهِما وفيه عَكَصٌ  أي تَدَانٍ وتَرَاكُبٌ في خَلْقِه العين والكاف والسين
عكس,14, العَكْسُ والعَكِيْسُ والعَكِيْسَةُ عَكَسْتُ عَكِيْساً وعَكْساً واعْتَكَسْتُ العَكِيْسُ وتَعَكسَ والعكَاسُ عِكَاس عِكَاس والعَكِيْسَةُ وعَكِسَ,3,no vowel, *عكس*	 العَكْسُ رد آخِرِ الشيء على أوله والعَكِيْسُ والعَكِيْسَةُ اللبَنُ الحَليبُ تُصَب عليه الإهالَةُ وقد عَكَسْتُ عَكِيْساً وعَكْساً واعْتَكَسْتُ أيضاً وقيل العَكِيْسُ مَرَن يُصَبُّ عليه اللبَنُ  وتَعَكسَ في المَشْي تَمَايَلَ والعكَاسُ الإبَاضُ وقيل أن يُشَد حَبْل في خَطْم الجَمَل إلى رسغ يدِه فيبقى مُعًلَقاً رأسُه لِيَذل ودوْنَه [[عِكَاس]] ومِكاسٌ  وهو أنْ تأخُذَ بناصِيَته ويأخُذَ بناصِيَتِك ويُقال مِكَاسٌ [[عِكَاس]] على الإِتْباع والعَكِيْسَةُ  التي تَمس الأرْضَ من قُضْبَانِ الكَرْم وعَكِسَ به بمعنى عسكَ به
كسع,9, الكَسْعُ كَسَعَهُم وكَسَعَ وكَسَعْتُه وكَسَعْتُ مُكْتَسِعٌ والكُسْعَةُ واكْتَسَعَتِ كَواسِع,3,no vowel, *كسع*	 الكَسْعُ الضَرْبُ باليَدِ والرجْل على دُبُرِ شَيْء وأن تَتبِعَ أدْبارَ القوم تَضْرِبُ بالسيْف يُقال [كَسَعَهُم] وكَسَعَ أدْبَارَهم [[وكَسَعْتُ]ه] بما ساءهُ رَمَيْتَه وكَسَعْتُ النّاقَةَ بِغُبْرِها إِذا تركْت بَقِيًةً من اللًبَن في خِلفِها تُريْدُ تَعزيْزَها وشِدَتَها ويُقال للعَزَبِ  هو مُكْتَسِعٌ بِغُبْرِه والكُسْعَةُ الريشُ المجْتَمِعُ الأبيضُ تحتَ ذَنَب الطيْر والحَمِيْرُ والنُكْتَةُ البَيْضاء ُفي جَبْهَةِ كل شيء وحَمَائم أكْسَعُ تَحتَ ذَنَبِه رِيْشَةٌ بيضاءُ أو حمراء وفَرَسٌ أكْسَعُ ابْيَضَّتْ أطْرافُ ثُنَنِه واكْتَسَعَتِ الخَيْلُ بأذْنابِها أدْخَلَتْها بين أرْجلِها وكذلك ظِبَاءٌ [كَواسِع]
عسك,2, عَسكَ وعَسكْتُ,3,no vowel, *عسك*	 عَسكَ به لَزِقَ به ولَزمَه وعَسكْتُ ذَنَبَ الدّابًةِ أي عَقَدْتَه
كعس,2, الكَعْسُ كِعَاسَ,3,no vowel, *كعس*	 الكَعْسُ عِظَامُ السلامى وهي أيضاً عِظامُ البَراجِم في الأصابع وكذلك من الشاء والبَقَر وغيرِهما والجَميعُ كِعَاسَ
سكع,2, سكَعَ وسَكَعَ,3,no vowel, *سكع*	 سكَعَ ذهَبَ في الأرض لا يدْري أينَ يأخُذ وسَكَعَ تَحَير العين والكاف والزاي
زعك,1, والزعْكُوْكُ,3,no vowel, *زعك*	 مُهْمَلٌ عند الخليل وحَكى الخارزنجي  الأزْعَكِيُّ والزعْكُوْكُ  القَصيرُ اللئيمُ من الرجال
عكز,11, عَكَزَ عَكْزاً وعَكَزَاناً العُكازَةُ العَكْزُ وعَكَزْتُ وعَكزتُه العُكاز وعُكازُ وعَكُّوْزُه والعَكُوْزُ,3,no vowel, *عكز*	 عَكَزَ على عَصاهُ تَوَكَأ عَكْزاً وعَكَزَاناً ومنه [العُكاز]َةُ وقيل العَكْزُ الاهْتِداءُ بالشَّيْء وعَكَزْتُ الرُمْحَ رَكزْتَه [وعَكزتُه] أثْبَتَّ فيه [العُكاز] وعُكازُ الزج [وعَكُّوْزُه] واحد والعَكُوْزُ  مثْلُ الجبةِ من الحَديدِ يَجْعَلُ الأجذَمً رِجْلَه فيه العين والكاف والدال
عكد,18, العَكَدَةُ عَكْدُ والعَكَدَة وعَكِدَ والعكْدَةُ وعكَدَ واسْتعْكَدَ عُكْدَةُ مَعْكِدي وعَكدَه مَعْكُود والمَعْكُوْدُ مَعْكُود وعَكد عَكِد وعَكَدُ والعُكْدُ اسْتَعكَدَ,3,no vowel, *عكد*	 العَكَدَةُ أصْلُ اللَسانِ وقيل وَسَطُه ومُعْظَمُه وكذلك عَكْدُ كل شيءٍ  [والعَكَدَة]  النّاقَةُ المُتَلاحِقًةُ سِمَناً وسِنّاً والريْشُ الذي يُنَقطُ به الخُبْزُ وعَكِدَ الضَّبُ سَمِنَ والعكْدَةُ السمن وعكَدَ إليه وأعْكَدَ واسْتعْكَدَ لَجَأ ولي به عُكْدَةُ أي قوة وهو [مَعْكِدي]  [[وعَكد]َه] أي لَجَأه وهو [[مَعْكُود]] أيضاً والمَعْكُوْدُ المُقِيمُ الَّلازِمُ والمَحْبوسُ أيضاً وطَعَام [[مَعْكُود]] راهِنٌ دائم [وعَكد] به لَزِقَ وشَجَر [عَكِد] يابِس بَعْضُه على بَعْض وعَكَدُ الكِتابِ والنبات غِلَظُهما وكثْرتُهما والعُكْدُ  جُحْر الضب وقد اسْتَعكَدَ اتخَذَ
دعك,13, دٌعَكتُ مَدْعُوْك والدعكَايَةُ والداعِكُ والدعَك يدعَكُ والداعِكَة والدعَكَةُ والداعِكَةُ دَعَكَةٌ والدُّعك والدعْكَةُ والمُداعكُ,3,no vowel, *دعك*	 دٌعَكتُ الأديمَ والثوبَ والخصمَ لينتها  وطَريقٌ [مَدْعُوْك] والدعكَايَةُ الكثيرُ اللحم والداعِكُ [والدعَك] الأحمَقُ الذي يدعَكُ خُرْأه؛ أي يَسُوْطُه [والداعِكَة] [والدعَك]َةُ المُسْتَذل المُهَانُ [والداعِكَة]ُ الماجِنُ المَهينُ وقومٌ دَعَكَةٌ  [والدُّعك] الجعل والدعْكَةُ الجَمَاعةُ من الإبِل والمُداعكُ المُعالِج المُمارِس
دكع,2, الدكاعُ مَدْكوع,3,no vowel, *دكع*	 الدكاعُ داءٌ يأخُذُ الخَيْلَ والإبل في صدورها وهو [مَدْكوع]
